,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
EEG Fp1,1.0,0.6325275772607883,0.8219628163342608,0.6978301342828787,0.6700131482284055,0.5102453311702914,0.6283894548466206,0.4212696034061584,0.5927905762555987,0.5546018057939034,0.3696044239194318,-0.04633876107391014,0.23153494173288994,0.17940041344774404,0.03554998863964776,0.025873454248543398,0.7900905549657677,0.6363307199577526,0.2420877276840183,-0.6219777517189876,0.15095059283238346
EEG Fp2,0.6325275772607885,1.0,0.6742583899389092,0.7277093182255765,0.4105319978129157,0.6456271138358604,0.38775493943162737,0.5350706601120374,0.47271763760123575,0.58486966189801,0.15424896219647777,0.03283120978395766,0.12143554145861724,0.1868164939421641,-0.031538394881833236,0.014979960617810498,0.7280528274056842,0.5907094445083155,0.1958880519732166,-0.3229353178189232,0.07997876180675507
EEG F3,0.8219628163342608,0.6742583899389092,1.0,0.8107200633328095,0.6294555925544247,0.6004333228703256,0.7517761316086066,0.5321866898216175,0.8126402922959286,0.7354550669561019,0.46898096071470113,0.0301510425839053,0.39956116613606263,0.3231463994338373,0.15829717602389115,0.15184674419464728,0.9338835291319292,0.8424193055402704,0.41466716588037283,-0.579864778793669,0.08391588524025761
EEG F4,0.6978301342828787,0.7277093182255765,0.8107200633328094,0.9999999999999998,0.37651846894607105,0.6831528107564521,0.5173702997553123,0.7271942884032202,0.6161876045382945,0.763358183405786,0.2665346426070116,0.11701559240795024,0.25452672508596214,0.3310425806136327,0.07388794586300915,0.1302072461168772,0.87261733770503,0.7520266030765825,0.3507416399978338,-0.31193499283691295,0.18331568388029484
EEG F7,0.6700131482284055,0.41053199781291577,0.6294555925544248,0.37651846894607105,1.0,0.5779437863447089,0.6026861165366465,0.22310998653388564,0.5119919845696848,0.37003980714442253,0.41331839111773255,-0.05994063494281099,0.22403971772771836,0.13213217241683461,0.05790021393251932,0.029680103429581394,0.5706272472370028,0.4913098396369753,0.18497907967610755,-0.7903953865427092,0.0613115662106033
EEG F8,0.5102453311702914,0.6456271138358602,0.6004333228703256,0.6831528107564521,0.577943786344709,1.0,0.2584833778405225,0.5001393586289942,0.4524321957332494,0.6761899699630741,0.03680196109398066,0.0015401132727135122,0.11469827838749681,0.20857709206892008,-0.018677698522088282,0.0527276468194755,0.6798731075174888,0.6030915891255348,0.23702813892977823,-0.25464796350617364,0.08053989846353878
EEG T3,0.6283894548466206,0.3877549394316274,0.7517761316086066,0.5173702997553123,0.6026861165366465,0.2584833778405225,0.9999999999999999,0.38809187856577915,0.8923181929108367,0.5965618710045548,0.8374899697746817,0.13452221665804787,0.7306848249060478,0.4246573320140901,0.5041105802926407,0.36713027629337913,0.6358942837992161,0.7296187469671336,0.593463727267159,-0.7935498618291125,0.07478547350893539
EEG T4,0.4212696034061584,0.5350706601120374,0.5321866898216175,0.7271942884032202,0.22310998653388564,0.5001393586289941,0.38809187856577915,1.0,0.5233255175894149,0.80600729762314,0.2531722720402627,0.5636290807318494,0.3407358314456911,0.6009644498832104,0.23418596113944817,0.39835874922887626,0.588645821676225,0.6635378794386666,0.49761051134024986,-0.2008267260619666,0.17438160171427333
EEG C3,0.5927905762555987,0.47271763760123575,0.8126402922959286,0.6161876045382946,0.5119919845696848,0.4524321957332494,0.8923181929108367,0.523325517589415,1.0,0.7716693902558448,0.7027416300116428,0.2131255290835563,0.7546749279583889,0.5725206260416639,0.5137150741077267,0.4628234246797074,0.7435743777053659,0.8993177844427427,0.7213876614461273,-0.5832229723516071,0.048698374087629004
EEG C4,0.5546018057939035,0.58486966189801,0.735455066956102,0.763358183405786,0.3700398071444226,0.6761899699630741,0.5965618710045549,0.80600729762314,0.7716693902558448,1.0,0.3843380849170966,0.34920728014499125,0.4907741549795086,0.6491240843487256,0.31307275950733593,0.45077329624954504,0.7880862686119442,0.9156423938818912,0.656354475796722,-0.3873697077071872,0.08985405002253825
EEG T5,0.3696044239194318,0.15424896219647777,0.4689809607147011,0.2665346426070116,0.41331839111773255,0.03680196109398066,0.8374899697746816,0.25317227204026277,0.7027416300116428,0.3843380849170966,1.0,0.24774967233176345,0.8227527765186787,0.43077475584814484,0.6991201406923884,0.4805134154222191,0.35161925351634804,0.5008125248882165,0.6082765529525885,-0.7738636134761729,0.07201470260798039
EEG T6,-0.04633876107391015,0.03283120978395766,0.030151042583905295,0.11701559240795026,-0.05994063494281098,0.0015401132727135124,0.1345222166580479,0.5636290807318494,0.2131255290835563,0.34920728014499125,0.24774967233176345,0.9999999999999999,0.4161385156883737,0.7094821114760229,0.48842218030643536,0.6910749697774057,0.034832211001691385,0.22090114606103206,0.496509563255826,-0.09894384645653595,0.0747626732251851
EEG P3,0.23153494173288997,0.12143554145861724,0.39956116613606263,0.25452672508596214,0.22403971772771836,0.11469827838749681,0.7306848249060478,0.3407358314456911,0.7546749279583889,0.49077415497950866,0.8227527765186787,0.4161385156883736,1.0,0.6964159483028883,0.9200813882303015,0.7563025621273745,0.3137433367256449,0.5834625999714911,0.8837301656551073,-0.47446004654141705,0.06572245505888161
EEG P4,0.17940041344774407,0.1868164939421641,0.3231463994338373,0.3310425806136327,0.13213217241683461,0.20857709206892006,0.42465733201409017,0.6009644498832104,0.5725206260416639,0.6491240843487256,0.4307747558481449,0.7094821114760229,0.6964159483028882,1.0,0.6954035174864679,0.9195525749733957,0.31648229019866503,0.6038918962497789,0.9145277982806046,-0.27370885772237735,0.06360098378503518
EEG O1,0.03554998863964776,-0.031538394881833236,0.15829717602389115,0.07388794586300915,0.05790021393251932,-0.018677698522088285,0.5041105802926407,0.23418596113944817,0.5137150741077265,0.31307275950733593,0.6991201406923885,0.4884221803064353,0.9200813882303016,0.6954035174864679,1.0,0.843944694772306,0.08732352042424846,0.36592720610663954,0.8496696869536984,-0.3599937316527754,0.0706879788900164
