,EEG Fp1,EEG Fp2,EEG F3,EEG F4,EEG F7,EEG F8,EEG T3,EEG T4,EEG C3,EEG C4,EEG T5,EEG T6,EEG P3,EEG P4,EEG O1,EEG O2,EEG Fz,EEG Cz,EEG Pz,EEG A2-A1,ECG ECG
EEG Fp1,1.0,0.49022109872335357,0.6261046573340295,0.5481537228686381,0.6551377362977243,0.38445222464244033,0.421220907569077,0.3100326574908772,0.4767744538240051,0.4991150045865369,0.2705795411626684,0.056334953113008665,0.26368982281607506,0.2442491058717735,0.07829622851347373,0.14065910272730098,0.6086852952470164,0.4556307415563435,0.22337517848821606,-0.276717799776607,0.01107384784302343
EEG Fp2,0.4902210987233536,1.0,0.7053029065895762,0.735080892869762,0.5146760622182158,0.7730260037396701,0.3705708411897976,0.5101192355627308,0.5511767051422066,0.6317479256973114,0.12432352204402687,0.14505767096157135,0.22278655429786695,0.30308370336988794,0.0007748734490487493,0.1471201152908615,0.78068201256989,0.5570477646776015,0.20051765552473697,-0.03068220525936282,0.02954495658311461
EEG F3,0.6261046573340295,0.7053029065895762,1.0,0.832657728491166,0.7685861834091917,0.6525100789066451,0.6209346092557557,0.572435016805471,0.849968500290794,0.7983350285315717,0.4598781884379624,0.21042019662815103,0.4315646053783103,0.4803402099507969,0.21646205824711806,0.2968066524876581,0.9368209091926744,0.710196631663087,0.3708139873535023,-0.09640730955275699,-0.02421419186272606
EEG F4,0.5481537228686381,0.7350808928697621,0.8326577284911661,0.9999999999999999,0.6058446267628341,0.6644232283047252,0.49339248431776556,0.6399528676791358,0.6894222382145729,0.7980597511089466,0.2884634679376975,0.23094114437740457,0.35622458723124506,0.4812928443298414,0.1260089392551562,0.27193673214474495,0.8940186371111094,0.689366553029426,0.37810789783759385,-0.07292308574193539,-0.003761740833717214
EEG F7,0.6551377362977243,0.5146760622182157,0.7685861834091917,0.6058446267628341,0.9999999999999998,0.4264527401731502,0.5870088974233452,0.3681824663354666,0.6385831576971305,0.5683081605341856,0.46998325100412763,0.1051010448866769,0.3630494035357488,0.32827436877772603,0.18789608212892905,0.21637039157707955,0.6905047061781798,0.528941183373052,0.31484004194833726,-0.17413843956537559,0.008675547364121534
EEG F8,0.38445222464244033,0.77302600373967,0.6525100789066451,0.6644232283047253,0.42645274017315027,1.0,0.3518439678120565,0.5656463391201579,0.5552886336747578,0.6198990193213546,0.12604166608785802,0.25600214148461764,0.1902913917937947,0.3328192729217523,-0.010893230876933958,0.169840836799062,0.7259276215607742,0.5038767890270803,0.1602207043220176,0.19540126166629815,0.018712906693984406
EEG T3,0.421220907569077,0.37057084118979766,0.6209346092557557,0.49339248431776556,0.5870088974233453,0.35184396781205657,1.0,0.4253822402314793,0.65111873409154,0.5781425822434271,0.6659347608519075,0.20869257832176205,0.5691856364043494,0.454627379558761,0.4193049315337979,0.3668287841013057,0.5681841858714407,0.5301123728936206,0.4671092136267834,-0.06916379292779078,-0.013355786995883516
EEG T4,0.3100326574908772,0.5101192355627308,0.572435016805471,0.6399528676791358,0.36818246633546653,0.5656463391201579,0.4253822402314793,0.9999999999999998,0.574876789447161,0.7548173239413151,0.2810389811173055,0.6693348559064758,0.4137115614803944,0.654536938054913,0.26270990221293006,0.48678431529329186,0.6156254337705687,0.5794513836254087,0.40140219949252837,0.2537613285635363,0.002014442177615041
EEG C3,0.4767744538240051,0.5511767051422066,0.849968500290794,0.689422238214573,0.6385831576971305,0.5552886336747578,0.65111873409154,0.574876789447161,1.0,0.7928846546398666,0.6552140653622825,0.30153926337215614,0.5767667912624439,0.624703979262641,0.45954279876593807,0.44607466983874156,0.7770280122932703,0.696524708194341,0.4918030096287966,-0.03975888750376177,-0.07316417471578827
EEG C4,0.4991150045865369,0.6317479256973113,0.7983350285315718,0.7980597511089466,0.5683081605341856,0.6198990193213546,0.578142582243427,0.7548173239413151,0.7928846546398666,1.0,0.44777873882079805,0.4628851451454943,0.5954345023963956,0.7687615121155483,0.3876201122259446,0.5713456649478161,0.834172986022202,0.7903692621621083,0.59650632174632,0.07404205003685285,-0.02851544591365511
