,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG Fp2,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,MK
EEG Fp1,1.0,-0.399546817277491,-0.7202458775437105,-0.7227299859671236,-0.7276360898214623,-0.05610445257482212,-0.5584064228936522,-0.7064982196604063,-0.7245716336364835,-0.5372296220121247,-0.7670221416035133,-0.6752729910668364,-0.47715299934788097,-0.6696500700158405,-0.5287418052202755,-0.7836565513464139,0.5417767024153834,-0.6789772184334522,-0.8136139342950228,-0.8096358154832092,-0.7485809641191971,-0.47570786468572634,-0.7761353713373168,-0.7749498063892933,-0.7677314835951384,-0.7945466531829952,-0.8012090889480559,-0.8124640918868221,-0.7795089838338233,,,-0.49838708105268303,-0.0505119693317889,0.011706226220125855
EEG F3,-0.399546817277491,1.0,0.7066820350558605,0.6222660271581799,0.5153582382866698,0.7085609631581936,0.6792410562305835,0.5386042848643839,0.7660629383938397,0.8052847251922802,0.6279419096989838,0.6972700715522411,0.6692262667440985,0.7437874998864517,0.4171462093176763,0.6072354115877221,-0.7264552288382241,0.31726103722266935,0.538260890154737,0.533777356419692,0.5298671301414918,-0.16229953007066122,0.3435330855861047,0.47317358369249496,0.5715007376825801,0.2544368188231394,0.5760137618081688,0.4868885441654382,0.16726300867841962,,,0.23791225597253693,0.029405241549624896,-0.010036179596043603
EEG C3,-0.7202458775437105,0.7066820350558605,1.0,0.9336654807274947,0.8860782159290836,0.5421220003505699,0.8563859422244275,0.8974551958815489,0.9658375809802788,0.89722595420045,0.9667530746613927,0.9532500625795121,0.8400493271256577,0.79738152659348,0.627646239927759,0.9433405485203344,-0.7689971761040182,0.5112326346098373,0.8547997720266828,0.9024472828056624,0.8882329452472204,0.09440796421109443,0.7442148903226078,0.8523536801540295,0.8523137245041432,0.6757741630655791,0.9200308753328091,0.8667442526632038,0.6391700008878478,,,0.5883778978106167,0.06143145483822028,-0.021713351034321666
EEG P3,-0.7227299859671236,0.6222660271581799,0.9336654807274947,1.0,0.901204065466044,0.496007184973621,0.8580183949292846,0.8965303328415818,0.9054351127884845,0.8396788262386645,0.9546564921491487,0.9320137779610415,0.824120772549425,0.7395460593755087,0.6052262489009035,0.9418479915260358,-0.7523643034422506,0.5116838419108395,0.8542302711775486,0.9112799858360133,0.910402052965309,0.13744935912009956,0.7643661144801144,0.8744726961569393,0.8388024934330028,0.6852432258259088,0.9211532588397433,0.8824360276069466,0.6821300907989892,,,0.5768319358920192,0.07396546799396726,-0.026359222832272582
EEG O1,-0.7276360898214623,0.5153582382866698,0.8860782159290836,0.901204065466044,1.0,0.4190290329011118,0.8282788608338512,0.9150003990795214,0.8526448844836533,0.7804614307418938,0.925152897583225,0.8893260493617238,0.787337361002918,0.7022175582966846,0.5902169001948584,0.9208630766130368,-0.6747706523201588,0.528717831047482,0.851693988319633,0.9146227868691224,0.9221277507559669,0.22398494702411073,0.7998058132840158,0.8945847144995641,0.8362551023678476,0.7252977243600799,0.9089008653700092,0.8933582103546391,0.7472467684002337,,,0.6251376011626959,0.09605626203000935,-0.023369967967974643
EEG F7,-0.05610445257482212,0.7085609631581936,0.5421220003505699,0.496007184973621,0.4190290329011118,1.0,0.7302151201114199,0.47195989793126114,0.5641095427863668,0.752277348900281,0.47634484545438244,0.5791036240008108,0.7803347645141231,0.5111943336756966,0.2940581706149934,0.451623292024124,-0.6210910288926346,-0.013387201239432997,0.3166484819784121,0.37203629215075157,0.39593127571594083,-0.4459193606265322,0.1669725937304178,0.32810748928141015,0.35431934053645286,0.01805207190007959,0.4031387060290315,0.3057109002923627,-0.04806003095311763,,,0.20224268742581902,0.012661181154844853,-0.009010403065090744
EEG T3,-0.5584064228936522,0.6792410562305835,0.8563859422244275,0.8580183949292846,0.8282788608338512,0.7302151201114199,1.0,0.8673631453288899,0.8546504284091407,0.9007398983134179,0.8644810212833852,0.878940592725601,0.9351567704936585,0.7041562716470261,0.5539784270763629,0.8556008395582134,-0.7752928563645264,0.366192275922896,0.7504789437712592,0.8195431490029018,0.8144961428604741,-0.04664106769000234,0.656422336196406,0.7882390891389619,0.7399585355020243,0.5320195030431788,0.8249406033534399,0.7798164012145196,0.5356921954661777,,,0.5140084480706235,0.05899251427754982,-0.019099704710310098
EEG T5,-0.7064982196604063,0.5386042848643839,0.8974551958815489,0.8965303328415818,0.9150003990795214,0.47195989793126114,0.8673631453288899,1.0,0.8444106539724409,0.8166719354377723,0.9122705631249147,0.9030309554362096,0.8615614302695205,0.6538079565741263,0.5769907151509007,0.9151876354976627,-0.6955402877456051,0.4500593187677921,0.8206741007787882,0.9023713844858383,0.8978621608738125,0.10422086763439843,0.7644005095129527,0.8844194479491183,0.7914698887650552,0.6908654008226022,0.8874599569663956,0.8667890661441104,0.7054995955983699,,,0.6674084154335272,0.11380430226480295,-0.01974888835741347
EEG Fc1,-0.7245716336364835,0.7660629383938397,0.9658375809802788,0.9054351127884845,0.8526448844836533,0.5641095427863668,0.8546504284091407,0.8444106539724409,1.0,0.8959000556215956,0.9529551605387515,0.9298874383356514,0.8085023593755799,0.8667895117478268,0.6184016085505071,0.9332568728857349,-0.7987016655731014,0.5644685274396216,0.8669394421005738,0.8909010554525231,0.8671136628217587,0.12700069073712197,0.7357696347088613,0.8338603760404223,0.8665307088433521,0.6671736190430368,0.9147472343567544,0.8604429184428704,0.6118184087590399,,,0.5190127981916154,0.056230702676375824,-0.021580947580389417
EEG Fc5,-0.5372296220121247,0.8052847251922802,0.89722595420045,0.8396788262386645,0.7804614307418938,0.752277348900281,0.9007398983134179,0.8166719354377723,0.8959000556215956,1.0,0.8545527059004242,0.8975569357819936,0.8912547318990914,0.7669002461270376,0.5523703845368106,0.8303731784741748,-0.7770248874581883,0.3660488685997168,0.7265262486564332,0.7782433505823659,0.7700390592307493,-0.09055297188151423,0.5959515741154311,0.7254279415908365,0.7344944738854603,0.48706490627265225,0.7999066449826738,0.7298556995853959,0.4378476324984809,,,0.5026334858868171,0.05636988615828297,-0.015514790260813226
EEG Cp1,-0.7670221416035133,0.6279419096989838,0.9667530746613927,0.9546564921491487,0.925152897583225,0.47634484545438244,0.8644810212833852,0.9122705631249147,0.9529551605387515,0.8545527059004242,1.0,0.9460866773653368,0.8217856781948116,0.781466022453399,0.6496996339994664,0.9778386883963811,-0.7658472892976342,0.5572149107261218,0.896381380881942,0.9487296267533689,0.9374417775758794,0.17128479511567474,0.8021343370108873,0.9011538266872656,0.8823951059043242,0.7354903672124649,0.9621737599096912,0.9199971129428244,0.7132356330678278,,,0.6027568696084602,0.06660389769921812,-0.02359504542022639
EEG Cp5,-0.6752729910668364,0.6972700715522411,0.9532500625795121,0.9320137779610415,0.8893260493617238,0.5791036240008108,0.878940592725601,0.9030309554362096,0.9298874383356514,0.8975569357819936,0.9460866773653368,1.0,0.867472974345144,0.7599803537264576,0.6114928673876254,0.9290941760573019,-0.80709765866288,0.47935753047919566,0.8313442817767586,0.8917043344130536,0.884242336863645,0.0647630905316661,0.7342192613660958,0.8499644709642695,0.8228651321530496,0.6402587646870446,0.9007331385172267,0.8565207114213604,0.6241876075897718,,,0.5871057095815135,0.0768112530987886,-0.023646025512684247
EEG F9,-0.47715299934788097,0.6692262667440985,0.8400493271256577,0.824120772549425,0.787337361002918,0.7803347645141231,0.9351567704936585,0.8615614302695205,0.8085023593755799,0.8912547318990914,0.8217856781948116,0.867472974345144,1.0,0.6079378536692267,0.5133844156009697,0.8065866530682788,-0.7707726608692803,0.2365602828895923,0.667439223469403,0.7655875048529639,0.7759993326573922,-0.19601299783090437,0.5798889215274802,0.7419888232776919,0.6567186988930938,0.4496919770739751,0.7634483243861835,0.7160712795115783,0.46910292554465205,,,0.5523182754077062,0.04412933627002321,-0.019353231926694237
EEG Fz,-0.6696500700158405,0.7437874998864517,0.79738152659348,0.7395460593755087,0.7022175582966846,0.5111943336756966,0.7041562716470261,0.6538079565741263,0.8667895117478268,0.7669002461270376,0.781466022453399,0.7599803537264576,0.6079378536692267,1.0,0.5402047277082997,0.784741619675103,-0.6405175065749085,0.7009334241092192,0.8216774947806115,0.7559807081869094,0.7125878933263806,0.3265984367708492,0.6619833450686529,0.6935119597652624,0.8586830381470261,0.6284714181587122,0.7951954903704825,0.7425715239560234,0.5321791973256967,,,0.36163491601023134,0.029953488906328776,-0.006567406631591533
EEG Cz,-0.5287418052202755,0.4171462093176763,0.627646239927759,0.6052262489009035,0.5902169001948584,0.2940581706149934,0.5539784270763629,0.5769907151509007,0.6184016085505071,0.5523703845368106,0.6496996339994664,0.6114928673876254,0.5133844156009697,0.5402047277082997,1.0,0.6425993644512455,-0.5135618247625999,0.4020420445190894,0.6066949289417348,0.6193923816122927,0.6053160217380441,0.14221818542068865,0.5229555607536157,0.5819456492866232,0.6049171318843962,0.4871613114738208,0.6292102873512044,0.606948222299876,0.4620209097238127,,,0.3756211360526724,0.03898314560995279,-0.025640832414279204
EEG Pz,-0.7836565513464139,0.6072354115877221,0.9433405485203344,0.9418479915260358,0.9208630766130368,0.451623292024124,0.8556008395582134,0.9151876354976627,0.9332568728857349,0.8303731784741748,0.9778386883963811,0.9290941760573019,0.8065866530682788,0.784741619675103,0.6425993644512455,1.0,-0.7567527068055918,0.5815719335686101,0.9164854052318652,0.9729997948170742,0.944932833876581,0.20964387877923277,0.8173436216847185,0.917096214430304,0.8867376690588651,0.748935187067249,0.9681773129089957,0.9355473538839578,0.7357550594661915,,,0.5939827719281412,0.07962765337996695,-0.025315397770556598
EEG Fp2,0.5417767024153834,-0.7264552288382241,-0.7689971761040182,-0.7523643034422506,-0.6747706523201588,-0.6210910288926346,-0.7752928563645264,-0.6955402877456051,-0.7987016655731014,-0.7770248874581883,-0.7658472892976342,-0.80709765866288,-0.7707726608692803,-0.6405175065749085,-0.5135618247625999,-0.7567527068055918,1.0,-0.330282164942568,-0.6508942017216952,-0.7015071689389909,-0.6940625612272087,0.18785419604261455,-0.49326137182007845,-0.6484584588813644,-0.6375425156777167,-0.37664901646688115,-0.72279823950999,-0.6537730230785863,-0.35162120931791524,,,-0.3730208381166,-0.029105436865348656,0.015845312451469737
EEG F4,-0.6789772184334522,0.31726103722266935,0.5112326346098373,0.5116838419108395,0.528717831047482,-0.013387201239432997,0.366192275922896,0.4500593187677921,0.5644685274396216,0.3660488685997168,0.5572149107261218,0.47935753047919566,0.2365602828895923,0.7009334241092192,0.4020420445190894,0.5815719335686101,-0.330282164942568,1.0,0.7379058430441032,0.6288222629981979,0.5609957931590187,0.6436575854014034,0.6685458668330091,0.5966483473708891,0.731172663266158,0.749276030630822,0.6318836624141048,0.6689989333712196,0.6738653774230986,,,0.3071151098343396,0.03249947330968826,-0.008920131344693556
EEG C4,-0.8136139342950228,0.538260890154737,0.8547997720266828,0.8542302711775486,0.851693988319633,0.3166484819784121,0.7504789437712592,0.8206741007787882,0.8669394421005738,0.7265262486564332,0.896381380881942,0.8313442817767586,0.667439223469403,0.8216774947806115,0.6066949289417348,0.9164854052318652,-0.6508942017216952,0.7379058430441032,1.0,0.9412190571985982,0.8748496015307246,0.39888114584901585,0.8381940306135766,0.8909277297008216,0.93014368902056,0.8100376072864668,0.9393000218410664,0.945807145015863,0.7885461910831933,,,0.5366896022816269,0.04324991268072972,-0.021262833597049915
EEG P4,-0.8096358154832092,0.533777356419692,0.9024472828056624,0.9112799858360133,0.9146227868691224,0.37203629215075157,0.8195431490029018,0.9023713844858383,0.8909010554525231,0.7782433505823659,0.9487296267533689,0.8917043344130536,0.7655875048529639,0.7559807081869094,0.6193923816122927,0.9729997948170742,-0.7015071689389909,0.6288222629981979,0.9412190571985982,1.0,0.9476680653110188,0.2959973701217978,0.8612552486079982,0.9478147975200676,0.8854833689972694,0.8060031312537327,0.9678832426539763,0.9767702106729523,0.8015918147614778,,,0.6037254524309132,0.07569734490373255,-0.025469367109331877
EEG O2,-0.7485809641191971,0.5298671301414918,0.8882329452472204,0.910402052965309,0.9221277507559669,0.39593127571594083,0.8144961428604741,0.8978621608738125,0.8671136628217587,0.7700390592307493,0.9374417775758794,0.884242336863645,0.7759993326573922,0.7125878933263806,0.6053160217380441,0.944932833876581,-0.6940625612272087,0.5609957931590187,0.8748496015307246,0.9476680653110188,1.0,0.24378436307502224,0.823257822692218,0.9334291648453488,0.8546930639667114,0.7532389106810481,0.9346944343145258,0.9324476726387302,0.7594825088986846,,,0.6363944599900808,0.08115946933380437,-0.022675696269963578
EEG F8,-0.47570786468572634,-0.16229953007066122,0.09440796421109443,0.13744935912009956,0.22398494702411073,-0.4459193606265322,-0.04664106769000234,0.10422086763439843,0.12700069073712197,-0.09055297188151423,0.17128479511567474,0.0647630905316661,-0.19601299783090437,0.3265984367708492,0.14221818542068865,0.20964387877923277,0.18785419604261455,0.6436575854014034,0.39888114584901585,0.2959973701217978,0.24378436307502224,1.0,0.5284190190229551,0.32365635826378764,0.37054472915561026,0.6245611989254716,0.2705945472776782,0.3781135791914559,0.6674564594464448,,,0.13047854492018604,-0.007984963625928444,0.0005949377733984766
EEG T4,-0.7761353713373168,0.3435330855861047,0.7442148903226078,0.7643661144801144,0.7998058132840158,0.1669725937304178,0.656422336196406,0.7644005095129527,0.7357696347088613,0.5959515741154311,0.8021343370108873,0.7342192613660958,0.5798889215274802,0.6619833450686529,0.5229555607536157,0.8173436216847185,-0.49326137182007845,0.6685458668330091,0.8381940306135766,0.8612552486079982,0.823257822692218,0.5284190190229551,1.0,0.8752340756061829,0.7975894112135871,0.8797077250549702,0.8339029431799851,0.8859736993357376,0.8774290396418182,,,0.5671913901489798,0.03390766060890728,-0.015228552589170758
EEG T6,-0.7749498063892933,0.47317358369249496,0.8523536801540295,0.8744726961569393,0.8945847144995641,0.32810748928141015,0.7882390891389619,0.8844194479491183,0.8338603760404223,0.7254279415908365,0.9011538266872656,0.8499644709642695,0.7419888232776919,0.6935119597652624,0.5819456492866232,0.917096214430304,-0.6484584588813644,0.5966483473708891,0.8909277297008216,0.9478147975200676,0.9334291648453488,0.32365635826378764,0.8752340756061829,1.0,0.837086316194086,0.8043078639219476,0.9134321831122124,0.9479111974739871,0.826960451989756,,,0.6117601981800356,0.06593227483369321,-0.018870367609576364
EEG Fc2,-0.7677314835951384,0.5715007376825801,0.8523137245041432,0.8388024934330028,0.8362551023678476,0.35431934053645286,0.7399585355020243,0.7914698887650552,0.8665307088433521,0.7344944738854603,0.8823951059043242,0.8228651321530496,0.6567186988930938,0.8586830381470261,0.6049171318843962,0.8867376690588651,-0.6375425156777167,0.731172663266158,0.93014368902056,0.8854833689972694,0.8546930639667114,0.37054472915561026,0.7975894112135871,0.837086316194086,1.0,0.7645985660481893,0.9159063096549013,0.8884447975602537,0.7286931186159732,,,0.541182342946451,0.04834822035894591,-0.020081769715576955
EEG Fc6,-0.7945466531829952,0.2544368188231394,0.6757741630655791,0.6852432258259088,0.7252977243600799,0.01805207190007959,0.5320195030431788,0.6908654008226022,0.6671736190430368,0.48706490627265225,0.7354903672124649,0.6402587646870446,0.4496919770739751,0.6284714181587122,0.4871613114738208,0.748935187067249,-0.37664901646688115,0.749276030630822,0.8100376072864668,0.8060031312537327,0.7532389106810481,0.6245611989254716,0.8797077250549702,0.8043078639219476,0.7645985660481893,1.0,0.7802931218462444,0.8382210190308272,0.8907049168800456,,,0.5475345707969917,0.02838141515318608,-0.015088749423262035
EEG Cp2,-0.8012090889480559,0.5760137618081688,0.9200308753328091,0.9211532588397433,0.9089008653700092,0.4031387060290315,0.8249406033534399,0.8874599569663956,0.9147472343567544,0.7999066449826738,0.9621737599096912,0.9007331385172267,0.7634483243861835,0.7951954903704825,0.6292102873512044,0.9681773129089957,-0.72279823950999,0.6318836624141048,0.9393000218410664,0.9678832426539763,0.9346944343145258,0.2705945472776782,0.8339029431799851,0.9134321831122124,0.9159063096549013,0.7802931218462444,1.0,0.9471376898952883,0.7581115059715854,,,0.5893089716946367,0.0575702342688128,-0.020776023255602856
EEG Cp6,-0.8124640918868221,0.4868885441654382,0.8667442526632038,0.8824360276069466,0.8933582103546391,0.3057109002923627,0.7798164012145196,0.8667890661441104,0.8604429184428704,0.7298556995853959,0.9199971129428244,0.8565207114213604,0.7160712795115783,0.7425715239560234,0.606948222299876,0.9355473538839578,-0.6537730230785863,0.6689989333712196,0.945807145015863,0.9767702106729523,0.9324476726387302,0.3781135791914559,0.8859736993357376,0.9479111974739871,0.8884447975602537,0.8382210190308272,0.9471376898952883,1.0,0.8431670312439741,,,0.600821578266854,0.05489369405350446,-0.022154128737362996
EEG F10,-0.7795089838338233,0.16726300867841962,0.6391700008878478,0.6821300907989892,0.7472467684002337,-0.04806003095311763,0.5356921954661777,0.7054995955983699,0.6118184087590399,0.4378476324984809,0.7132356330678278,0.6241876075897718,0.46910292554465205,0.5321791973256967,0.4620209097238127,0.7357550594661915,-0.35162120931791524,0.6738653774230986,0.7885461910831933,0.8015918147614778,0.7594825088986846,0.6674564594464448,0.8774290396418182,0.826960451989756,0.7286931186159732,0.8907049168800456,0.7581115059715854,0.8431670312439741,1.0,,,0.5758628957600943,-0.001021214763615658,-0.017785902847619068
