,EEG Fp1,EEG F3,EEG C3,EEG P3,EEG O1,EEG F7,EEG T3,EEG T5,EEG Fc1,EEG Fc5,EEG Cp1,EEG Cp5,EEG F9,EEG Fz,EEG Cz,EEG Pz,EEG F4,EEG C4,EEG P4,EEG O2,EEG F8,EEG T4,EEG T6,EEG Fc2,EEG Fc6,EEG Cp2,EEG Cp6,EEG F10,SPO2,HR,1,2,EEG FP2,MK
EEG Fp1,1.0,0.15347530225218667,0.2057888842241187,0.18125161425069072,0.06142960284412442,0.4900613759420286,-0.02355120200019917,0.13171037608738215,0.314109268742104,0.38214818906284614,0.20508280375114296,0.0653874502139811,0.5114424674729224,0.10525939745073201,0.08123367337264122,0.08349368901235599,-0.017744316921117085,-0.027102526799864916,0.007532981997125475,0.22536121806582854,0.34672700804626977,0.20465921197291573,-0.018114492453271888,-0.08252330252707309,0.024989557489400006,0.008916782080800899,-0.0921285184756023,0.375701694444861,,,0.17081577252482083,-0.03213843611163789,-0.08577184223367136,-0.0113622757328299
EEG F3,0.15347530225218667,1.0,0.7088846449535106,0.09586049758401996,-0.07584408388407915,-0.20693635975382696,-0.009900798964793291,0.02404701699356569,0.7904306527372461,0.3445215030640637,0.2777980199126869,0.2949646898674093,-0.029470319987654134,0.0664306498608686,-0.04066057350984712,-0.07979352300234394,-0.024251239011287597,-0.08673698239168588,-0.23961647761392166,-0.11627833406058603,-0.04668860324961684,-0.12152043148968537,-0.08703518366996552,-0.09422506922881066,0.00916247500801811,-0.13686348506453413,-0.23750110362225463,-0.08772609534301526,,,-0.017399341502212007,-0.0010774062651823782,-0.06003690895787671,-0.0012298838463340367
EEG C3,0.2057888842241187,0.7088846449535106,1.0,0.4695929507659385,0.09861311804974132,-0.1688781238755698,0.07690913598686233,0.28895177329481153,0.7365111107680536,0.36387676541708386,0.7091931322753057,0.5603697610132338,-0.11992161645777115,0.009450692294717903,0.29623429633531356,0.175499576591575,-0.07140037970161932,0.04231283762744464,0.05428729589477005,0.0935610760741839,-0.01332467262543422,-0.0633573107131963,0.03519797190919511,-0.05156209700206707,0.051003531390310226,0.056450440630209466,-0.03425463144315634,-0.07942008009954975,,,-9.602571550649887e-05,0.015376617450946576,0.04396198612713476,-0.008230057474100851
EEG P3,0.18125161425069072,0.09586049758401996,0.4695929507659385,1.0,0.3704040480736058,0.4151979888348602,0.11716204442352798,0.8069813873888406,0.22934166360469352,0.5321364587219916,0.8753148426642653,0.5503414031684335,0.2690452829115594,-0.005442106120187215,0.5454917318319071,0.5681780242807266,-0.07084108823671784,0.12126589010368834,0.5953913452079871,0.5538298285216189,0.33179974460551387,0.4208431667129334,0.26637908126877424,-0.01878984622704091,0.05412860409992554,0.3392447763626321,0.30074228749151793,0.3420999120412795,,,0.12246582148922802,0.043090323508330905,0.12870495793994632,0.0035564283604878236
EEG O1,0.06142960284412442,-0.07584408388407915,0.09861311804974132,0.3704040480736058,1.0,0.17795140682957344,0.2092650622841266,0.17665865425810187,-0.01988820827565784,0.1432592091884606,0.23397727715691968,0.0248663520598292,0.05786519058008775,-0.06678945420624548,0.232233665088921,0.3730687290919806,-0.016833499152417844,0.027490781555641684,0.2376001782193306,0.3327395460554915,0.18872277784569721,0.20407554265063588,0.10906771849259715,-0.04051682150202368,0.039281748064918555,0.12104012184632072,0.12252377767961467,0.18384835349825598,,,0.08742074477194882,0.09638793950986504,0.15411046101450904,0.017450921003789602
EEG F7,0.4900613759420286,-0.20693635975382696,-0.1688781238755698,0.4151979888348602,0.17795140682957344,1.0,0.058016064180307275,0.4598505663439577,-0.08990800015657073,0.6170277757146126,0.2911795315989308,0.057194050586622434,0.8263874036995146,0.0552113687033291,0.24593744129068584,0.3162086381909129,-0.046679035415266745,0.01933176538367174,0.32600951346314483,0.4183769724815069,0.527770129230976,0.5642134255341075,0.13339009009840383,-0.03155563076662474,0.05349927990199028,0.1679320095484754,0.10299434152415764,0.6236449267020917,,,0.25105199056337707,-0.0005886637410873689,0.024011829241621267,-0.0024082490646031495
EEG T3,-0.02355120200019917,-0.009900798964793291,0.07690913598686233,0.11716204442352798,0.2092650622841266,0.058016064180307275,1.0,0.09914460608379883,-0.03189105438443269,0.083863459931081,0.14798908813863218,0.11483321143092623,-0.06365790092306202,-0.028149997021511632,0.17608631246062648,0.10992337132757816,0.05656325030541558,-0.01160237959541815,0.11983198647458221,0.10297600311443247,0.10704647553251923,0.06940910794589865,0.13397867108493325,0.021656300018215106,0.055461725745732236,0.06687056187866963,0.07662555409738643,0.05521110393239426,,,0.049227957908873965,0.15088243658974482,0.38131310230881416,-0.015022835993426771
EEG T5,0.13171037608738215,0.02404701699356569,0.28895177329481153,0.8069813873888406,0.17665865425810187,0.4598505663439577,0.09914460608379883,1.0,0.09757787402244283,0.5427319589334718,0.6744280058855623,0.5550219315857816,0.3102446060836971,0.0200117357457206,0.39265693785189865,0.39622882342757393,-0.06796981399532787,0.08608967695988054,0.4593253739869275,0.3519545444497407,0.2554584657781452,0.36179637587728997,0.2023779838393331,0.01765641884199855,0.03395227144065259,0.267890450406805,0.2152084619402002,0.2688794610735566,,,0.10796263462078769,0.030072653685334624,0.08743348023487552,-0.007431281418509047
EEG Fc1,0.314109268742104,0.7904306527372461,0.7365111107680536,0.22934166360469352,-0.01988820827565784,-0.08990800015657073,-0.03189105438443269,0.09757787402244283,1.0,0.34307872741553,0.40289217186404325,0.3090806482595655,0.06957758128631603,0.06596588853438164,0.09494444288028747,0.017626936259846685,-0.005648712318824499,-0.04701744904432648,-0.15328065978684213,0.019918179899129747,0.014664481371049703,-0.04698236574525263,-0.07685701924867469,-0.10506830671800108,-0.05014778392252246,-0.058533111141137434,-0.20017931052651142,0.03406872975848127,,,0.0033436233237306465,0.05498357251260078,-0.07255616024523925,-0.015744832466304322
EEG Fc5,0.38214818906284614,0.3445215030640637,0.36387676541708386,0.5321364587219916,0.1432592091884606,0.6170277757146126,0.083863459931081,0.5427319589334718,0.34307872741553,1.0,0.5364811697710143,0.3246432815009142,0.53155254767675,0.05745374692005111,0.2936946225005627,0.2901109052891926,-0.05961604447987372,0.02698951788485404,0.24111519088810476,0.318819195288097,0.36372117809724136,0.3793384873310851,0.10872218538390317,-0.06290834362130303,0.04212632944577225,0.13510563041169998,0.03226919860711102,0.3697747206554605,,,0.17262305365142447,0.029919102130744262,0.0345296195683454,0.0033447677371866835
EEG Cp1,0.20508280375114296,0.2777980199126869,0.7091931322753057,0.8753148426642653,0.23397727715691968,0.2911795315989308,0.14798908813863218,0.6744280058855623,0.40289217186404325,0.5364811697710143,1.0,0.6252947648876662,0.1699115881220737,-0.0298466485857019,0.6230552288955741,0.5088652144978667,-0.09880517880204528,0.17889860078095277,0.5411668823340774,0.44326316885956796,0.2696680331756318,0.336455843853987,0.23387890349819163,-0.022003317268698114,0.08185100191738758,0.32743671252148066,0.2732500761963475,0.2603896530499952,,,0.09325315718126077,0.034075563976061,0.13929827954270965,-0.016901956443943347
